id,name,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood,zipcode,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,square_feet,price,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month
149548,Mission Bay Getaway - Near beaches!,100%,t,t,Bay Park,92117,t,House,Private room,1,1,1,1,,$49.00 ,189,31,99,1.84
149565,Comic-Con ROOM in Mission Bay area house,100%,t,t,Bay Park,92117,f,House,Private room,1,1,1,1,,$65.00 ,43,1,92,0.42
161818,Great Neighborhood-1 Bedroom in a 3 BR house. .,100%,f,t,Kensington,92116,t,House,Private room,2,2,1,1,,$79.00 ,63,2,98,0.61
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,100%,t,f,University Heights,92103,t,Guest suite,Entire home/apt,2,1,0,1,,$125.00 ,580,98,100,5.64
166787,Bay View Studio Condo in La Playa,100%,t,f,La Playa,92106,t,Condominium,Entire home/apt,2,1,0,1,,$75.00 ,107,2,92,1.13
167022,Room and bath in home near beach.,100%,f,t,Pacific Beach,92109,t,House,Private room,2,1,1,1,,$50.00 ,203,45,94,1.96
167760,Traveler's Haven - Central to all!,0%,f,t,Mira Mesa,92126,t,House,Private room,1,1,1,1,,$48.00 ,71,3,97,0.69
167804,"Mission Bay Retreat Studio, near Beaches, La Jolla",100%,t,t,Bay Park,92117,t,House,Private room,1,1,1,1,,$49.00 ,61,16,97,0.67
168415,Travel Twin Artist Retreat w/ Pool & Jacuzzi!,100%,t,t,Birdland,92123,t,House,Private room,2,1,1,2,,$58.00 ,62,4,97,0.6
170421,Traveler's Haven 2 - Central to all,0%,f,t,Mira Mesa,92126,t,House,Private room,1,1,1,1,,$55.00 ,53,2,98,0.51
170741,Ocean Front Penthouse Condominum,91%,f,t,Ocean Beach,92107,t,Condominium,Entire home/apt,4,1,1,1,1000,$132.00 ,4,1,100,0.18
171147,3/2 Home in Heart of San Diego,N/A,f,f,North Park,92104,t,House,Entire home/apt,6,2.5,3,3,,$249.00 ,30,0,90,0.42
171212,Entire 3BR/2BA Condo in Beautiful Del Mar!,90%,f,t,Carmel Valley,92130,t,Apartment,Entire home/apt,6,2,3,3,,$110.00 ,38,18,88,0.46
172062,House: Mid-Century Modern Lakefront Amazing Views,100%,f,t,Normal Heights,92116,t,House,Entire home/apt,5,2.5,3,1,,$750.00 ,2,0,100,0.04
172519,Upstairs Room/Pt. Loma,100%,f,t,Loma Portal,92106,t,House,Private room,1,3,1,1,,$90.00 ,53,0,88,0.51
174015,Beach Hide Out,100%,t,t,Mission Beach,92109,t,House,Entire home/apt,2,1,1,1,400,$145.00 ,431,64,96,4.19
175008,"Walkable, Luxury Highrise w Bay & City Views!",100%,f,t,Core-Columbia,92101,t,Condominium,Private room,2,1.5,1,1,,$26.00 ,13,2,98,0.13
175119,"Private bed&bath, All Welcome",100%,t,t,Talmadge,92115,f,House,Private room,2,1,1,1,,$71.00 ,98,5,98,0.95
176588,Mission Bay Cottage - SAN DIEGO,100%,t,f,Morena,92110,t,Guesthouse,Entire home/apt,4,1,0,2,,$89.00 ,171,31,96,1.68
179884,Mission Beach Contemporary Home,100%,f,t,Mission Beach,92109,t,House,Entire home/apt,8,2,3,4,,$390.00 ,92,22,91,1.1
181283,"SPCL RATES FOR END OF YEAR! Conv Ctr, Zoo, museum3",89%,f,t,Golden Hill,92102,t,Apartment,Entire home/apt,4,1,1,3,,$110.00 ,34,2,90,0.37
182428,Adorable South Mission Studio 5- 1block to Ocean,100%,f,t,Mission Beach,92109,t,Apartment,Entire home/apt,4,1,0,2,,$79.00 ,4,1,85,0.06
182504,Sunny San Diego Home Near All,100%,t,t,Hillcrest,92103,t,House,Entire home/apt,4,1,2,2,968,$175.00 ,245,30,99,2.38
184238,"Ocean Beach, Ocean views, hot tub, garage parking!",100%,t,t,Point Loma Heights,92107,t,Guesthouse,Entire home/apt,4,1.5,0,2,,$155.00 ,286,62,98,2.79
189785,Ocean views in North PB!  1 block to beach & surf.,100%,t,t,La Jolla,92109,t,Apartment,Private room,2,1,1,1,144,$95.00 ,30,3,100,0.41
190179,Bohemian Beach House,100%,t,t,Mission Beach,92109,t,House,Entire home/apt,2,1,1,1,,$215.00 ,162,35,97,1.61
190225,Charming La Jolla Village Home with pool & spa,100%,t,t,La Jolla,92037,t,House,Entire home/apt,14,4,5,9,,$550.00 ,125,27,98,1.33
204211,Fabulous Home by La Jolla and Beaches,N/A,f,t,University City,92122,t,House,Entire home/apt,10,3,5,7,,$525.00 ,24,2,97,0.25
204718,Friendly Clean Room/Mission Bay,99%,f,t,Bay Park,92110,t,Bungalow,Private room,2,1,1,1,,$59.00 ,838,124,93,8.56
205703,"BEST LOCATION, BEST PRICE IN S.D.",100%,t,t,Hillcrest,92103,t,Guesthouse,Entire home/apt,2,1,0,1,,$80.00 ,312,32,99,3.06
211583,"The Happy Little Cottage, South Mission Beach",90%,t,t,Mission Beach,92109,t,Cottage,Entire home/apt,4,1,2,3,,$165.00 ,140,34,97,1.63
213653,BEAUTIFUL OCEAN VIEW & TORREY PINES SERENITY,100%,t,f,Torrey Preserve,92014,t,House,Entire home/apt,12,3.5,4,5,,$550.00 ,33,10,98,0.36
241210,Room for rent in North Park Home near DT San Diego,100%,t,t,North Park,92104,t,Bungalow,Private room,1,1,1,1,,$60.00 ,75,12,97,0.75
244653,PRIVATE ROOM + BATHROOM,100%,f,f,Mountain View,92113,t,Townhouse,Private room,2,1,1,1,120,$70.00 ,37,8,98,0.37
246264,Central San Diego At Your Doorstep One Bedroom,100%,f,t,Linda Vista,92111,t,House,Entire home/apt,2,1,1,1,,$89.00 ,60,3,96,0.73
248857,Downtown San Diego Studio,100%,f,f,East Village,92101,t,Apartment,Entire home/apt,3,1,1,1,,$119.00 ,36,8,92,0.38
252289,Private oasis w/ jacuzzi -3bedrooms,91%,t,f,Mission Hill,92103,t,Guesthouse,Entire home/apt,6,2,3,3,,$135.00 ,249,32,98,2.73
269843,Twin Corner Artist Retreat w/ Pool & Jacuzzi!,100%,t,t,Mission Valley East,92123,t,House,Private room,2,1,1,2,,$58.00 ,76,0,95,0.82
272822,★70s VIBE★HUGE UNIQUE WOOD-PANELED ROOM with PATIO,N/A,f,t,Redwood Village/Rolando Park,92115,t,House,Private room,2,1,1,1,,$75.00 ,43,10,98,0.44
273134,Master Bed/Bath Artist Retreat w/ Pool & Jacuzzi!,100%,t,t,Birdland,92123,t,House,Private room,2,1,1,1,,$85.00 ,53,3,96,0.57
274943,"Great Location, Modern and Affordable!",100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,1,1,,$99.00 ,20,12,95,0.2
275539,Great Location!  Super Central! Balcony Apartment,100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,1,2,,$79.00 ,10,4,98,0.1
275557,"Bright, Ground Level, Designer, Studio Suite",100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,0,2,,$69.00 ,13,5,97,0.17
275560,Great Location!  Spacious and Elegant!,100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,1,1,,$79.00 ,8,5,100,0.08
275566,Fantastic Location!  Spacious and Elegant!,100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,1,1,,$79.00 ,10,4,100,0.17
275567,Luxurious and Affordable!  Economy Apartment!,100%,t,f,Sherman Heights,92102,t,Apartment,Entire home/apt,2,1,1,1,,$89.00 ,25,12,96,0.27
278138,Comfy Room Close to Everything !!,100%,f,f,Scripps Ranch,92131,t,House,Private room,2,1,1,1,,$65.00 ,82,5,93,0.86
278158,Comfy & Cozy Room for Travelers,100%,f,f,Scripps Ranch,92131,t,House,Private room,2,1,1,1,,$65.00 ,34,2,98,0.37
279012,Tropical Home Near Beach w/ Hot Tub,100%,t,t,Point Loma Heights,92107,t,House,Entire home/apt,6,2,3,4,1500,$235.00 ,23,5,97,0.25
281817,Private & Quiet Detached Cottage. No A/C,100%,t,f,South Park,92104,t,Guesthouse,Entire home/apt,2,1,1,1,,$95.00 ,208,23,97,2.13
289088,"Quiet studio: King bed, AC, Washer",100%,t,t,Midtown,92103,t,Bungalow,Entire home/apt,2,1,1,1,,$85.00 ,214,61,97,2.19
292285,Sleek & Modern OB Condo 2+2 BCH,100%,f,t,Point Loma Heights,92107,t,Condominium,Entire home/apt,4,2,2,2,,$95.00 ,46,5,91,0.57
293609,Stunning Home -Indoor/Outdoor Style,100%,t,t,University Heights,92116,t,House,Entire home/apt,5,1,2,2,,$149.00 ,232,26,98,2.92
299720,Bankers Hill Studio by Balboa Park,100%,f,t,Park West,92101,t,Condominium,Entire home/apt,4,1,1,1,630,$142.00 ,38,5,94,0.39
311052,Historic Kensington Craftsman Charm,100%,t,t,Kensington,92116,t,House,Private room,2,1,1,1,,$70.00 ,408,60,98,4.21
323711,Cute little Granny Flat  San Diego ,N/A,f,f,Lake Murray,92119,t,Apartment,Entire home/apt,2,1,1,1,500,$85.00 ,12,0,89,0.13
323773,Little Italy Executive Penthouse,N/A,f,t,Little Italy,92101,t,Apartment,Entire home/apt,6,2,2,3,1400,$167.00 ,1,0,100,0.01
331892,In the heart of San Diego and UCSD Medical Center,100%,t,t,Hillcrest,92103,t,Apartment,Private room,2,2,1,1,,$65.00 ,88,14,100,0.92
334730,Craftsman Cottage in Mission Hillls,100%,t,t,Mission Hill,92103,t,Guesthouse,Entire home/apt,2,1,1,1,,$99.00 ,253,34,95,2.62
343495,Private & Cozy Bohemian OB Cottage,100%,t,f,Ocean Beach,92107,t,House,Entire home/apt,2,1,1,1,,$110.00 ,333,39,98,4.08
359838,"SPCL RATES FOR END OF YEAR! Convent Ctr, zoo,  # 2",89%,f,t,Golden Hill,92102,t,Apartment,Entire home/apt,4,1,1,2,,$110.00 ,27,6,94,0.29
359971,Hillcrest - (close to Zoo & Balboa Park),100%,t,t,University Heights,92103,t,Apartment,Entire home/apt,2,1,1,1,,$96.00 ,80,3,97,0.84
366811,Private Floor to yourselves with game room,100%,t,t,Clairemont Mesa East,92111,t,House,Entire home/apt,6,1,1,3,,$90.00 ,271,30,98,2.9
373322,Pacific Beach San Diego Bay,75%,t,t,Pacific Beach,92109,t,Condominium,Entire home/apt,5,2,2,2,,$257.00 ,15,4,90,0.18
385343,Charming Beach Retreat,N/A,f,f,Ocean Beach,92107,t,Apartment,Entire home/apt,2,1,1,2,,$139.00 ,19,0,98,0.2
385760,"Super location,  beautiful neighborhood",100%,t,t,Point Loma Heights,92110,t,House,Private room,2,1.5,1,1,300,$50.00 ,238,149,98,2.53
393042,Twin Bed  Upstairs,100%,f,t,Loma Portal,92106,t,House,Private room,2,2,1,2,,$135.00 ,50,5,84,0.55
394524,Private Studio a few steps away from the beach,100%,f,f,Pacific Beach,92109,t,Guest suite,Entire home/apt,3,1,1,1,,$127.00 ,98,26,94,1.07
395071,Mission Beach meets Mission Bay,100%,t,f,Mission Beach,92109,t,Condominium,Entire home/apt,6,2,2,5,,$235.00 ,76,19,95,0.81
396390,Independent room in the back garden,100%,f,f,Midtown,92103,t,Guesthouse,Entire home/apt,1,1,1,1,,$70.00 ,136,41,97,1.48
401431,Charming Ocean Beach cottage,100%,t,t,Ocean Beach,92107,t,House,Entire home/apt,2,1,1,1,,$125.00 ,42,9,98,0.45
401581,cozy home close to wind n sea beach,N/A,f,t,La Jolla,92037,t,Apartment,Private room,2,1,1,1,750,$59.00 ,6,0,100,0.07
409649,Looking for Roommate to share condo,N/A,f,t,Clairemont Mesa East,92111,t,Apartment,Private room,1,1.5,1,1,,$35.00 ,5,0,100,0.07
409683,Bauhaus Bungalow - Luxe Beach House w/ Ocean Views,100%,t,t,La Jolla,92037,t,Bungalow,Entire home/apt,5,1,2,2,,$223.00 ,246,36,97,2.63
410726,Wonderful La Jolla Beach Retreat!,100%,f,t,La Jolla,92037,t,House,Entire home/apt,6,2,3,3,,$250.00 ,168,20,96,1.84
413705,San Diego HOME  Beautiful --EAST -Bdrm,100%,f,f,Bay Park,92110,t,House,Private room,2,1,1,2,,$47.00 ,115,31,96,3.38
426121,Charming & Centrally Located Apt,100%,t,t,Midtown,92103,t,Apartment,Entire home/apt,3,1,1,1,,$109.00 ,115,9,96,1.23
438786,1925 Hillcrest Studio with Outdoor Patio!,100%,t,t,North Park,92103,t,House,Entire home/apt,3,1,0,2,,$85.00 ,402,75,97,5.99
443994,Serene San Diego Canyon Getaway,100%,f,t,Clairemont Mesa West,92111,t,Guesthouse,Entire home/apt,2,1,1,1,,$110.00 ,161,22,97,1.75
460007,Historic Victorian Charm Downtown (Carriage House),100%,f,f,Cortez,92101,t,House,Entire home/apt,4,1,1,1,,$120.00 ,253,44,92,2.74
460016,Victorian Charmer Downtown #222 (upstairs),100%,f,f,Cortez,92101,t,Apartment,Entire home/apt,5,2,2,2,,$165.00 ,330,46,92,3.55
462375,Charming Craftsman House 3br/2ba,N/A,f,t,South Park,92102,t,House,Entire home/apt,4,2,3,3,,$250.00 ,11,2,96,0.12
466663,Walk to bay/downtwn  park BLUE ROOM,92%,f,f,Park West,92101,t,House,Private room,3,0.5,1,1,,$40.00 ,576,72,93,6.22
467573,Condo in San Diego near downtown,100%,t,f,Hillcrest,92103,t,Condominium,Private room,2,1,1,1,,$50.00 ,121,5,100,1.34
468475,Garden Cottage blocks to bay/dwntwn,92%,f,f,Park West,92101,f,Cottage,Private room,3,1,1,1,,$40.00 ,507,76,91,5.55
470519,Walk To All Bay/Park/Zoo/Gaslamp/Convention/Loft,92%,f,f,Park West,92101,t,House,Private room,2,3,1,1,,$39.00 ,502,82,90,5.5
470520,Outdoor shower walk to all Greenrom,92%,f,f,Park West,92101,f,House,Private room,3,1,1,1,,$40.00 ,593,101,94,6.44
472433,Beachfront La Jolla Home - Sunsets!,100%,f,f,La Jolla,92037,t,House,Entire home/apt,10,4,5,5,3000,$650.00 ,24,2,99,0.27
473679,Studio in the Heart of South Park!,100%,f,t,South Park,92102,t,Guesthouse,Entire home/apt,2,1,1,1,,$69.00 ,385,55,96,4.46
474236,Spacious Kid-Friendly Home w/Pool,N/A,f,t,Lake Murray,92119,t,House,Entire home/apt,8,3,4,6,,$239.00 ,9,0,100,0.1
479322,Downtown close-Hip apartment,100%,t,t,Sherman Heights,92102,t,Apartment,Entire home/apt,4,1,2,2,680,$119.00 ,467,53,98,5.06
482741,1 BR in Charming 2 BR Apt University Heights,100%,f,f,University Heights,92103,t,Apartment,Private room,1,1,1,1,800,$38.00 ,18,2,93,0.2
483463,Urban San Diego Cottage with Garden,86%,f,t,Normal Heights,92116,t,House,Entire home/apt,4,1,2,2,,$137.00 ,165,27,95,1.93
483688,Quaint cottage near USD/Old Town and trolley line,100%,t,t,Morena,92110,t,House,Entire home/apt,6,2,2,2,,$126.00 ,177,36,98,1.93
486611,Stylish Loft located in the GasLamp,40%,f,t,East Village,92101,t,Loft,Entire home/apt,3,1,1,1,,$120.00 ,0,0,,
495832,Perfect Pacific Beach Bungalow- with Parking!,100%,t,t,Pacific Beach,92109,f,Bungalow,Entire home/apt,4,1,2,2,,$139.00 ,214,19,95,2.32
497584,Lavishly Restored 2 bedroom #218,100%,f,f,Cortez,92101,t,Apartment,Entire home/apt,5,2,2,2,,$140.00 ,328,39,94,3.55
500915,Craftsman in hip area near downtown,100%,f,t,South Park,92104,t,House,Entire home/apt,6,2,3,2,1850,$199.00 ,42,4,96,0.46
506774,Cozy Backyard Cottage in South Park,100%,t,t,South Park,92102,t,Guesthouse,Entire home/apt,4,1,0,2,,$89.00 ,303,44,94,3.29
519849,Eco Luxury Guest House,100%,t,t,Pacific Beach,92109,t,Guesthouse,Entire home/apt,3,1.5,1,2,1000,$200.00 ,98,28,97,1.17
522108,Charming Craftsman in South Park,100%,t,t,South Park,92102,t,House,Entire home/apt,5,1,3,3,,$225.00 ,34,1,91,0.37
528113,"Stylish Modern Condo, Stunning Views",100%,t,t,Park West,92103,t,Apartment,Entire home/apt,2,1,1,1,,$83.00 ,28,5,96,0.31
531406,Extreme home stay in La Jolla!,N/A,f,f,La Jolla,92037,t,House,Private room,2,1,1,1,,$130.00 ,70,0,98,0.77
533390,Private 1 bedroom ‘BirdsNest’ by the Park,N/A,f,f,North Park,92104,t,Bungalow,Entire home/apt,4,1,1,2,,$290.00 ,10,9,100,0.72
561997,"ENCHANTING SANCTUARY, CENTRAL TO ALL",100%,t,t,Bay Park,92117,t,House,Entire home/apt,6,1,2,2,1500,$199.00 ,113,17,99,1.24
563806,803 El Carmel - Deluxe Town Home,92%,f,f,Mission Beach,92109,t,Apartment,Entire home/apt,8,2.5,2,3,,$366.00 ,1,0,100,0.03
564627,Beach Home 2blocks from the beach.,N/A,f,f,Pacific Beach,92109,t,Apartment,Entire home/apt,10,1,1,5,,$961.00 ,9,0,72,0.1
571552,2bd/2ba PENTHOUSE in a Cloud,N/A,f,t,East Village,92101,t,Loft,Entire home/apt,4,2,2,2,1,$295.00 ,22,0,97,0.24
571822,La Jolla Kid Friendly Beach House,90%,t,t,La Jolla,92037,t,House,Entire home/apt,11,3,4,5,,$450.00 ,157,41,97,1.96
576112,Soulful Studio 2 Blocks to Beach,100%,t,t,Pacific Beach,92109,t,Guesthouse,Entire home/apt,2,1,1,1,,$125.00 ,504,78,98,5.55
585426,4 Br Large Family House Normal Heights San Diego,100%,f,t,Adams North,92116,t,House,Entire home/apt,10,2,4,5,,$200.00 ,98,16,93,1.09
585469,Aunt Chris' San Diego Getaway,100%,t,f,South Park,92104,t,House,Entire home/apt,2,1,1,1,,$74.00 ,455,46,97,5.03
587471,"Amazing ocean view, Rooftop spa, Close to downtown",100%,f,f,Ocean Beach,92107,t,House,Entire home/apt,12,4,5,7,2770,$700.00 ,24,13,94,0.5
589214,MOST POPULAR LISTING WALK TO BAY DOWNTOWN PARK/ZOO,92%,f,f,Park West,92101,t,Treehouse,Private room,2,1,1,1,,$59.00 ,658,108,94,7.38
589254,Hillcrest San Diego Midcentury Bedroom Bathroom,100%,t,t,Hillcrest,92103,t,Condominium,Private room,2,1,1,1,,$59.00 ,183,27,98,2.75
591575,Luxury Condo with Ocean Views,100%,t,t,La Jolla,92037,f,Condominium,Entire home/apt,6,2,2,2,,$365.00 ,64,29,97,1.44
597609,Vista Del Mar Two,100%,t,t,La Jolla,92037,t,Condominium,Entire home/apt,4,2,2,2,,$365.00 ,48,22,99,1.13
599607,Backyard Treehouse Flat,100%,f,t,Midtown,92103,t,House,Private room,1,0.5,1,1,,$200.00 ,0,0,,
602985,Quaint Historic Beach House,100%,f,t,Ocean Beach,92107,t,House,Entire home/apt,6,1,2,2,,$197.00 ,168,21,95,1.89
604169,"BOAT, BED & BREAKFAST - ""SLIPAWAY"" - 45'  Ketch",100%,t,f,La Playa,92106,t,Boat,Entire home/apt,5,1,2,1,,$245.00 ,20,5,95,0.24
606508,"condos in San Diego, CA",70%,f,t,East Village,92101,t,Apartment,Entire home/apt,4,1,1,2,,$275.00 ,1,0,100,0.02
610920,La Jolla Beach Beauty ~ 3bd/2ba walk to beach/surf,100%,f,f,La Jolla,,t,House,Entire home/apt,6,2,3,3,,$525.00 ,5,1,95,0.06
611250,Walk to bay downtownn Priv 1/2 bath,92%,f,f,Park West,92101,t,House,Private room,3,0.5,1,1,,$39.00 ,470,114,93,5.19
616718,Priv Bath Walk to Bay/downotwn/park,92%,f,f,Park West,92101,t,House,Private room,2,1,1,0,,$40.00 ,570,77,92,6.29
631271,Downtown San Diego Loft,80%,f,t,East Village,92101,t,Loft,Entire home/apt,3,1,1,1,,$126.00 ,99,3,97,1.11
635756,Modern San Diego Condo with Views!,100%,t,f,East Village,92101,t,Condominium,Entire home/apt,2,1,0,1,600,$80.00 ,21,3,97,0.37
637308,La Jolla Castle in the Sky,100%,f,f,La Jolla,92037,t,House,Entire home/apt,16,5.5,6,7,,$999.00 ,1,0,,0.01
641013,BednBike with en-suite bathroom.,100%,f,t,Golden Hill,92102,t,House,Private room,2,1,1,1,,$29.00 ,245,47,92,3.11
642164,"Safe, Walkable, Historic Neighborhood",0%,f,t,Kensington,92116,t,House,Entire home/apt,8,2,3,5,1600,$300.00 ,27,0,96,0.3
643253,Private Bungalow in an Urban Oasis,100%,t,t,Teralta East,92105,t,Guesthouse,Private room,2,1.5,1,1,,$36.00 ,82,54,95,0.92
651542,Spanish Revival Home with a View,100%,t,t,Midtown,92103,t,House,Entire home/apt,5,2,2,2,,$175.00 ,155,22,98,1.92
653299,*Prime Location!!*99 WaLK Score*,100%,f,t,Marina,92101,t,Condominium,Entire home/apt,7,2,2,3,,$152.00 ,14,2,95,0.17
655822,Andrade  Spa In Sunny San Diego CA,100%,f,t,Rancho Penasquitos,92129,t,House,Entire home/apt,6,2,3,3,1850,$200.00 ,9,2,93,0.24
657051,Modern w/Jacuzzi Keyless-EZ Parking- blocks to Zoo,100%,t,t,South Park,92102,t,Apartment,Entire home/apt,4,1,0,1,,$125.00 ,161,46,95,1.83
657126,"Steps to la jolla cove, walk to all",100%,t,t,La Jolla,92037,t,House,Private room,2,1,1,1,,$155.00 ,57,8,98,0.64
670830,"Walk to bay/dwntwn/parkZoo, parking free/Lavender",92%,f,f,Park West,92101,t,House,Private room,2,3,1,1,,$39.00 ,464,57,92,5.18
674234,"1/2 br condo in San Diego, Mission Valley",70%,f,t,Mission Valley East,92116,t,Apartment,Entire home/apt,6,2,2,3,,$300.00 ,0,0,,
678569,"Walk to all, Village step to beach",100%,t,t,La Jolla,92037,t,House,Private room,2,1,1,1,,$165.00 ,100,18,98,1.18
691117,Sweet Room in a Unique Property,100%,t,t,Teralta West,92105,t,House,Private room,2,1,1,1,120,$35.00 ,40,39,99,0.45
691132,"Family Beach Home, 2 Blocks To Sand",100%,f,t,Pacific Beach,92109,t,Bungalow,Entire home/apt,12,3,5,5,,$465.00 ,7,3,89,0.09
691897,"BOAT, BED & BREAKFAST - ""Dauntless"" - 46' Hampton",100%,t,f,La Playa,92106,t,Boat,Entire home/apt,4,1,2,2,,$245.00 ,20,10,96,0.45
693579,1 Bed Apt- Ideal for Travel Nurse / Grad / Coder,57%,f,t,Golden Hill,92102,t,Apartment,Entire home/apt,2,1,1,1,,$64.00 ,1,1,100,1
702744,*Researchers Quiet  Paradise/ Walk UCSD,100%,t,t,La Jolla,92037,t,Apartment,Private room,1,2,1,1,,$70.00 ,92,24,98,1.17
705866,Romantic getaway  La jolla village,100%,t,t,La Jolla,92037,t,House,Private room,2,1,1,1,,$175.00 ,55,12,99,0.63
706493,AMAZING CANYON VIEWS 1-story & Hot Tub & BILLIARDS,100%,f,t,San Carlos,92124,t,House,Entire home/apt,8,2,3,4,,$180.00 ,30,1,92,0.37
723387,Perfect PB Spring/Summer Getaway!,93%,t,t,Pacific Beach,92109,t,Apartment,Entire home/apt,2,,1,1,,$125.00 ,78,15,97,0.88
726684,Downtown Penthouse Condo Monthly Rental,N/A,f,t,East Village,92101,t,Loft,Entire home/apt,4,2,2,2,1300,$183.00 ,2,0,100,0.03
732851,One night stay in Luxury,100%,f,f,Pacific Beach,92109,t,House,Private room,3,1,1,2,,$200.00 ,0,0,,
741131,One Bedroom Ocean View San Diego Central EZ Park,100%,f,t,Linda Vista,92111,t,Treehouse,Entire home/apt,2,1,1,1,,$89.00 ,57,1,94,0.7
741607,*Furnished 2 bed/2 bath apartment:1,78%,f,t,Pacific Beach,92109,t,Apartment,Entire home/apt,4,2,2,4,1000,$60.00 ,21,1,77,0.24
743453,"Quiet, relaxing, big & private room",100%,f,f,Clairemont Mesa West,92111,t,House,Private room,4,1,1,2,,$55.00 ,304,8,96,3.46
